134.7.44.51	scada-11.eng-lab.cage.curtin.edu.au
134.7.44.74	localhost.localdomain
134.7.44.90	localhost.localdomain
134.7.44.94	localhost.localdomain
134.7.44.110	stud1-10.eng.cage.curtin.edu.au
134.7.44.116	stud1-16.eng.cage.curtin.edu.au
134.7.44.130	scanner2.eng.cage.curtin.edu.au
134.7.44.137	localhost.localdomain
134.7.44.139	localhost.localdomain
134.7.44.154	localhost.localdomain
134.7.44.157	localhost.localdomain
134.7.44.171	localhost.localdomain
134.7.44.186	localhost.localdomain
134.7.44.189	c-593-05.staff.ad.curtin.edu.au
134.7.44.199	localhost.localdomain
134.7.44.211	localhost.localdomain
134.7.44.214	c-593-07.staff.ad.curtin.edu.au
134.7.44.226	localhost.localdomain
134.7.44.241	c-205-126-06.staff.ad.curtin.edu.au
134.7.44.243	localhost.localdomain
134.7.44.251	localhost.localdomain
134.7.45.2	localhost.localdomain
134.7.45.5	localhost.localdomain
134.7.45.24	localhost.localdomain
134.7.45.27	localhost.localdomain
134.7.45.44	localhost.localdomain
134.7.45.52	final-02.eng.cage.curtin.edu.au
134.7.45.57	final-07.eng.cage.curtin.edu.au
134.7.45.73	final-23.eng.cage.curtin.edu.au
134.7.45.85	c-205-104a-20.staff.ad.curtin.edu.au
134.7.45.92	embed-12.eng.cage.curtin.edu.au
134.7.45.105	scada-17.eng.cage.curtin.edu.au
134.7.45.112	localhost.localdomain
134.7.45.120	localhost.localdomain
134.7.45.140	localhost.localdomain
134.7.45.154	localhost.localdomain
134.7.45.155	localhost.localdomain
134.7.45.157	localhost.localdomain
134.7.45.159	localhost.localdomain
134.7.45.164	scada-04.eng.cage.curtin.edu.au
134.7.45.180	c-205-104-12.staff.ad.curtin.edu.au
134.7.45.184	c-204-237-16.staff.ad.curtin.edu.au
134.7.45.187	c-204-237-17.staff.ad.curtin.edu.au
134.7.45.193	localhost.localdomain
134.7.45.210	c-204-230-03.staff.ad.curtin.edu.au
134.7.45.214	c-204-230-07.staff.ad.curtin.edu.au
134.7.45.229	pwr-09.eng.cage.curtin.edu.au
134.7.45.230	localhost.localdomain
134.7.45.241	localhost.localdomain
134.7.45.245	localhost.localdomain
134.7.45.249	localhost.localdomain
134.7.46.27	localhost.localdomain
134.7.46.51	comms-04.eng.cage.curtin.edu.au
134.7.46.60	c-205-104-05.staff.ad.curtin.edu.au
134.7.46.116	localhost.localdomain
134.7.46.118	localhost.localdomain
134.7.46.146	embed-19.eng.cage.curtin.edu.au
134.7.46.147	embed-20.eng.cage.curtin.edu.au
134.7.46.149	embed-22.eng.cage.curtin.edu.au
134.7.46.159	localhost.localdomain
134.7.46.175	localhost.localdomain
134.7.46.179	localhost.localdomain
134.7.46.190	localhost.localdomain
134.7.46.194	localhost.localdomain
134.7.46.195	localhost.localdomain
134.7.46.196	localhost.localdomain
134.7.46.208	localhost.localdomain
134.7.46.210	localhost.localdomain
134.7.47.22	localhost.localdomain
134.7.47.31	localhost.localdomain
134.7.47.38	localhost.localdomain
134.7.47.50	localhost.localdomain
134.7.47.111	localhost.localdomain
134.7.47.125	localhost.localdomain
134.7.47.145	localhost.localdomain
